time,lon,lat
200704050300,13.392,77.569
200704050400,12.919,77.534
200704050500,12.974,77.374
200704050600,13.409,77.288
200704050700,13.574,77.226
200704050800,13.099,77.132
200704050900,12.720,77.036
200704051000,12.257,76.940
200704051100,11.441,76.766
200704051200,10.908,76.628
200704051300,10.469,76.450
200704051400,10.042,76.230
200704051500,9.546,75.970
200704051600,9.233,75.649
200704051700,8.860,75.267
200704051800,8.888,74.887
200704051900,8.470,74.465
200704052000,8.951,73.967
200704052100,9.402,73.509
200704052200,9.828,73.130
200704052300,10.570,72.689
200704060000,11.660,72.143
200704060100,12.711,71.770
200704060200,13.752,71.552
200704060300,14.170,71.162
200704060400,15.332,70.891
200704060500,15.901,70.752
200704060600,16.210,70.581
200704060700,17.162,70.384
200704060800,17.860,70.333
200704060900,18.171,70.077
