time,lon,lat
200704050000,12.066,78.563
200704050100,11.457,78.526
200704050200,11.144,78.408
200704050300,11.112,78.068
200704050400,11.388,77.947
200704050500,11.366,77.747
200704050600,10.887,77.629
200704050700,10.787,77.529
200704050800,10.320,77.370
200704050900,9.683,77.230
200704051000,9.330,77.069
200704051100,8.808,76.907
200704051200,8.662,76.606
200704051300,8.528,76.246
200704051400,8.468,76.025
200704051500,8.326,75.824
200704051600,8.514,75.585
200704051700,7.480,75.517
200704051800,6.499,75.264
200704051900,5.897,74.873
200704052000,5.831,74.551
200704052100,5.861,74.150
200704052200,6.407,73.679
200704052300,6.512,73.180
200704060000,6.615,72.661
200704060100,6.658,72.081
200704060200,7.570,71.574
200704060300,8.374,71.043
200704060400,9.434,70.489
200704060500,11.144,70.166
200704060600,12.557,69.751
