time,lon,lat
200801301000,10.042,76.230
200801301100,10.374,76.070
200801301200,10.534,75.909
200801301300,10.846,75.628
200801301400,10.836,75.449
200801301500,10.903,75.248
200801301600,10.816,75.089
200801301700,10.959,74.888
200801301800,11.020,74.648
200801301900,11.310,74.506
200801302000,10.781,74.409
200801302100,10.921,74.248
200801302200,10.842,74.148
200801302300,10.758,73.929
200801310000,10.824,73.808
200801310100,10.813,73.588
200801310200,10.872,73.348
200801310300,11.142,73.227
200801310400,11.343,73.146
200801310500,11.407,73.085
200801310600,11.256,72.886
200801310700,11.446,72.725
200801310800,11.780,72.702
200801310900,11.647,72.723
200801311000,11.040,72.687
200801311100,10.630,72.469
200801311200,10.229,72.250
