time,lon,lat
200801301100,14.868,74.376
200801301200,14.766,74.037
200801301300,14.520,74.203
200801301400,14.196,74.089
200801301500,14.011,73.932
200801301600,13.598,73.699
200801301700,13.406,73.462
200801301800,13.147,73.206
200801301900,13.172,72.965
200801302000,12.944,72.828
200801302100,12.843,72.630
200801302200,12.947,72.448
200801302300,12.730,72.331
200801310000,12.513,72.194
200801310100,12.499,72.094
200801310200,12.094,71.958
200801310300,12.074,71.779
200801310400,12.374,71.635
200801310500,12.032,71.399
200801310600,12.255,71.176
200801310700,12.793,71.048
200801310800,12.553,71.092
200801310900,12.659,70.970
200801311000,12.337,70.835
200801311100,12.700,70.830
200801311200,12.692,70.770
